"Level/Niveau","Hierarchical structure","Structure hiérarchique","Code","Class title","Superscript","Titres de classes","Supérieurs","Class definition","Définitions de la classe"
5,"Canadian industry","Classe canadienne","486990","All other pipeline transportation","","Tous les autres services de transport par pipeline","","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in pipeline transportation. Establishments engaged in the operation of slurry pipelines are included.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale concerne le transport par pipeline. Sont compris dans cette classe les établissements qui exploitent des pipelines à schlamms."
2,"Subsector","Sous-secteur","487","Scenic and sightseeing transportation","","Transport de tourisme et d'agrément","","This subsector comprises establishments primarily engaged in providing recreational transportation, such as sightseeing or dinner cruises, steam train excursions, horse-drawn sightseeing rides, air-boat rides or hot-air balloon rides. These establishments often use vintage or specialized transportation equipment. The services provided are local in nature, usually involving same-day return. Establishments that provide charter fishing services are included.","Ce sous-secteur comprend les établissements dont l'activité principale consiste à fournir des services de transport d'agrément tels que les croisières de plaisance ou les croisières-restaurants, les excursions en train à vapeur, les randonnées de plaisance en véhicule hippomobile, les tours en hydroglisseur ou en montgolfière. Ces établissements utilisent souvent du matériel de transport suranné ou spécialisé. Les activités offertes se déroulent sur de courtes distances; il s'agit généralement d'excursions d'un jour. Les établissements qui offrent des services d'affrètement de bateaux de pêche sont inclus."
3,"Industry group","Groupe","4871","Scenic and sightseeing transportation, land","","Transport terrestre de tourisme et d'agrément","","This industry group comprises establishments primarily engaged in providing scenic and sightseeing transportation on land, such as steam train excursions and horse-drawn sightseeing rides.","Ce groupe comprend les établissements dont l'activité principale consiste à fournir des services de transport terrestre de tourisme et d'agrément tels que les excursions en train à vapeur et les randonnées en véhicule hippomobile."
4,"Industry","Classe","48711","Scenic and sightseeing transportation, land","","Transport terrestre de tourisme et d'agrément","","This industry comprises establishments primarily engaged in providing scenic and sightseeing transportation on land, such as steam train excursions and horse-drawn sightseeing rides.","Cette classe comprend les établissements dont l'activité principale consiste à fournir des services de transport terrestre pour tourisme et agrément tels que les excursions en train à vapeur et les randonnées en véhicule hippomobile."
5,"Canadian industry","Classe canadienne","487110","Scenic and sightseeing transportation, land","","Transport terrestre de tourisme et d'agrément","","This Canadian industry comprises establishments primarily engaged in providing scenic and sightseeing transportation on land, such as steam train excursions and horse-drawn sightseeing rides.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à fournir des services de transport terrestre de tourisme et d'agrément tels que les excursions en train à vapeur et les randonnées en véhicule hippomobile."
3,"Industry group","Groupe","4872","Scenic and sightseeing transportation, water","","Transport par eau de tourisme et d'agrément","","This industry group comprises establishments primarily engaged in providing scenic and sightseeing transportation on water, such as sightseeing, dinner cruises or air-boat rides. These establishments often use vintage or specialized transportation equipment. The services provided are local in nature, usually involving same-day return. Establishments that provide charter fishing services are included.","Ce groupe comprend les établissements dont l'activité principale consiste à fournir des services de transport par eau de tourisme et d'agrément tels que les croisières de plaisance, les croisières-restaurants et les tours en hydroglisseur. Ces établissements utilisent souvent du matériel de transport suranné ou spécialisé. Les activités offertes se déroulent sur de courtes distances; il s'agit généralement d'excursions d'un jour. Sont compris dans cette classe les établissements qui offrent des services d'affrètement de bateaux de pêche."
4,"Industry","Classe","48721","Scenic and sightseeing transportation, water","","Transport par eau de tourisme et d'agrément","","This industry comprises establishments primarily engaged in providing scenic and sightseeing transportation on water, such as sightseeing, dinner cruises or air-boat rides. These establishments often use vintage or specialized transportation equipment. The services provided are local in nature, usually involving same-day return. Establishments that provide charter fishing services are included.","Cette classe comprend les établissements dont l'activité principale consiste à fournir des services de transport par eau de tourisme et d'agrément tels que les croisières de plaisance, les croisières-restaurants et les tours en hydroglisseur. Ces établissements utilisent souvent du matériel de transport suranné ou spécialisé. Les activités offertes se déroulent sur de courtes distances; il s'agit généralement d'excursions d'un jour. Sont compris dans cette classe les établissements qui offrent des services d'affrètement de bateaux de pêche."
5,"Canadian industry","Classe canadienne","487210","Scenic and sightseeing transportation, water","","Transport par eau de tourisme et d'agrément","","This Canadian industry comprises establishments primarily engaged in providing scenic and sightseeing transportation on water, such as sightseeing, dinner cruises or air-boat rides. These establishments often use vintage or specialized transportation equipment. The services provided are local in nature, usually involving same-day return. Establishments that provide charter fishing services are included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à fournir des services de transport par eau de tourisme et d'agrément tels que les croisières de plaisance, les croisières-restaurants et les tours en hydroglisseur. Ces établissements utilisent souvent du matériel de transport suranné ou spécialisé. Les activités offertes se déroulent sur de courtes distances; il s'agit généralement d'excursions d'un jour. Sont compris dans cette classe les établissements qui offrent des services d'affrètement de bateaux de pêche."
3,"Industry group","Groupe","4879","Scenic and sightseeing transportation, other","","Autres services de transport de tourisme et d'agrément","","This industry group comprises establishments, not classified to any other industry, primarily engaged in providing scenic and sightseeing transportation. Some examples of these services are scenic helicopter rides and hot-air balloon rides.","Ce groupe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale consiste à fournir des services de transport de tourisme et d'agrément. Parmi les services de cette classe, notons les tours de plaisance en hélicoptère et en montgolfière."
4,"Industry","Classe","48799","Scenic and sightseeing transportation, other","","Autres services de transport de tourisme et d'agrément","","This industry comprises establishments, not classified to any other industry, primarily engaged in providing scenic and sightseeing transportation. Some examples of these services are scenic helicopter rides and hot-air balloon rides.","Cette classe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale consiste à fournir des services de transport pour tourisme et agrément. Parmi les services de cette classe, notons les tours de plaisance en hélicoptère et en montgolfière."
5,"Canadian industry","Classe canadienne","487990","Scenic and sightseeing transportation, other","","Autres services de transport de tourisme et d'agrément","","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in providing scenic and sightseeing transportation.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale consiste à fournir des services de transport de tourisme et d'agrément."
2,"Subsector","Sous-secteur","488","Support activities for transportation","","Activités de soutien au transport","","This subsector comprises establishments primarily engaged in providing services to other transportation establishments. These services may be specific to a mode of transportation, or they may be multi-modal.","Ce sous-secteur comprend les établissements dont l'activité principale consiste à fournir des services à d'autres établissements de transport. Ces services peuvent être propres à un mode de transport ou multimodaux."
3,"Industry group","Groupe","4881","Support activities for air transportation","","Activités de soutien au transport aérien","","This industry group comprises establishments primarily engaged in providing specialized services to the air transport industry.","Ce groupe comprend les établissements dont l'activité principale consiste à fournir des services spécialisés au secteur du transport aérien."
4,"Industry","Classe","48811","Airport operations","","Opérations aéroportuaires","","This industry comprises establishments primarily engaged in operating international, national and other civil airports. The activities involved in operating airports include renting hangar space, and providing air traffic control services, baggage handling, cargo handling and aircraft parking services. Public flying fields are included.","Cette classe comprend les établissements dont l'activité principale est l'exploitation d'aéroports internationaux, nationaux et d'autres aéroports civils. Parmi les activités d'exploitation d'aéroports, notons la location de hangars et la prestation de services de contrôle de la circulation aérienne, de manutention des bagages, de manutention du fret et de stationnement des aéronefs. Sont compris dans cette classe les terrains publics d'aviation."
5,"Canadian industry","Classe canadienne","488111","Air traffic control","","Contrôle de la circulation aérienne","","This Canadian industry comprises establishments primarily engaged in operating air traffic control services to promote the safe, orderly, and expeditious flow of air traffic.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à fournir des services de contrôle de la circulation aérienne visant à assurer une circulation aérienne sûre, ordonnée et rapide."
5,"Canadian industry","Classe canadienne","488119","Other airport operations","US","Autres opérations aéroportuaires","ÉU","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in operating civil airports.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale est l'exploitation d'aéroports civils."
4,"Industry","Classe","48819","Other support activities for air transportation","","Autres activités de soutien au transport aérien","","This industry comprises establishments, not classified to any other industry, primarily engaged in providing specialized services to the air transport industry. Some important activities are servicing aircraft, repairing and maintaining aircraft (except on a factory basis), and inspecting and testing aircraft.","Cette classe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale consiste à fournir des services spécialisés au secteur du transport aérien. Parmi les principales activités de cette classe, notons l'entretien courant des aéronefs, la réparation et la maintenance des aéronefs (sauf en usine), l'inspection et l'essai des aéronefs."
5,"Canadian industry","Classe canadienne","488190","Other support activities for air transportation","","Autres activités de soutien au transport aérien","","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in providing specialized services to the air transport industry. Some important activities are servicing aircraft, repairing and maintaining aircraft (except on a factory basis), and inspecting and testing aircraft.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale consiste à fournir des services spécialisés au secteur du transport aérien. Parmi les principales activités de cette classe, notons l'entretien courant des aéronefs, la réparation et la maintenance des aéronefs (sauf en usine), l'inspection et l'essai des aéronefs."
3,"Industry group","Groupe","4882","Support activities for rail transportation","","Activités de soutien au transport ferroviaire","","This industry group comprises establishments primarily engaged in providing specialized services to the rail transport industry. Establishments engaged in the operation of railway terminals and stations, and the maintenance of railway rights-of-way and structures are included.","Ce groupe comprend les établissements dont l'activité principale consiste à fournir des services spécialisés au secteur du transport ferroviaire. Sont compris dans cette classe les établissements qui exploitent des complexes ferroviaires et des gares et qui assurent l'entretien des emprises et des ouvrages ferroviaires."
4,"Industry","Classe","48821","Support activities for rail transportation","","Activités de soutien au transport ferroviaire","","This industry comprises establishments primarily engaged in providing specialized services to the rail transport industry. Establishments engaged in the operation of railway terminals and stations, and the maintenance of railway rights-of-way and structures are included.","Cette classe comprend les établissements dont l'activité principale consiste à fournir des services spécialisés au secteur du transport ferroviaire. Sont compris dans cette classe les établissements qui exploitent des complexes ferroviaires et des gares et qui assurent l'entretien des emprises et des ouvrages ferroviaires."
5,"Canadian industry","Classe canadienne","488210","Support activities for rail transportation","","Activités de soutien au transport ferroviaire","","This Canadian industry comprises establishments primarily engaged in providing specialized services to the rail transport industry. Establishments engaged in the operation of railway terminals and stations, and the maintenance of railway rights-of-way and structures are included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à fournir des services spécialisés au secteur du transport ferroviaire. Sont compris dans cette classe les établissements qui exploitent des complexes ferroviaires et des gares et qui assurent l'entretien des emprises et des ouvrages ferroviaires."
3,"Industry group","Groupe","4883","Support activities for water transportation","","Activités de soutien au transport par eau","","This industry group comprises establishments primarily engaged in providing specialized services to the water transportation industry.","Ce groupe comprend les établissements dont l'activité principale consiste à fournir des services spécialisés au secteur du transport par eau."
4,"Industry","Classe","48831","Port and harbour operations","","Opérations portuaires","","This industry comprises establishments primarily engaged in operating port and harbour facilities and services. Establishments engaged in the operation of lighthouses are included.","Cette classe comprend les établissements dont l'activité principale consiste à exploiter des installations portuaires et à fournir des services portuaires. Sont compris dans cette classe les établissements qui exploitent des phares."
5,"Canadian industry","Classe canadienne","488310","Port and harbour operations","","Opérations portuaires","","This Canadian industry comprises establishments primarily engaged in operating port and harbour facilities and services. Establishments engaged in the operation of lighthouses are included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à exploiter des installations portuaires et à fournir des services portuaires. Sont compris dans cette classe les établissements qui exploitent des phares."
4,"Industry","Classe","48832","Marine cargo handling","","Manutention du fret maritime","","This industry comprises establishments primarily engaged in providing stevedoring and other marine cargo handling services.","Cette classe comprend les établissements dont l'activité principale consiste à fournir des services d'arrimage et d'autres services de manutention du fret maritime."
5,"Canadian industry","Classe canadienne","488320","Marine cargo handling","","Manutention du fret maritime","","This Canadian industry comprises establishments primarily engaged in providing stevedoring and other marine cargo handling services.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à fournir des services d'arrimage et d'autres services de manutention du fret maritime."
4,"Industry","Classe","48833","Navigational services to shipping","","Services de navigation pour le transport par eau","","This industry comprises establishments primarily engaged in providing navigational services to shipping. Important navigational services are pilotage, moorage and vessel traffic services. Establishments engaged in marine salvage are included.","Cette classe comprend les établissements dont l'activité principale consiste à fournir des services de navigation pour le transport par eau. Parmi les principaux services de navigation, notons les services de pilotage, d'amarrage et de circulation maritime. Sont compris dans cette classe les établissements qui se consacrent au sauvetage maritime."
5,"Canadian industry","Classe canadienne","488331","Marine salvage services","CAN","Sauvetage maritime","CAN","This Canadian industry comprises establishments primarily engaged in salvaging ships and their cargoes. Typical salvage situations include rescue towing, rescuing strandings and raising sunken vessels.","Cette classe canadienne comprend les établissements dont l'activité principale concerne le sauvetage des navires et de leurs cargaisons. Parmi les procédures types de sauvetage, notons le remorquage de secours, le sauvetage en cas d'échouement et le renflouement de navires coulés."
5,"Canadian industry","Classe canadienne","488332","Ship piloting services","CAN","Pilotage de navire","CAN","This Canadian industry comprises establishments primarily engaged in providing piloting service to ships when entering or leaving harbours or where required by law. The areas in which the services of a marine pilot are essential are generally referred to as pilotage waters.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à fournir des services de pilotage aux navires lorsqu'ils entrent dans un port ou le quittent ou quand la loi l'exige. La zone dans laquelle les services d'un pilote sont essentiels est généralement désignée par le terme zone de pilotage."
5,"Canadian industry","Classe canadienne","488339","Other navigational services to shipping","CAN","Autres services de navigation pour le transport par eau","CAN","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in providing navigational services to shipping.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale consiste à fournir des services de navigation pour le transport par eau."
4,"Industry","Classe","48839","Other support activities for water transportation","","Autres activités de soutien au transport par eau","","This industry comprises establishments, not classified to any other industry, primarily engaged in providing water transportation services. Establishments engaged in ship repair and maintenance (not done in a shipyard) and lighter operations are included.","Cette classe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale consiste à fournir des services de transport par eau. Sont compris dans cette classe les établissements qui effectuent la réparation et l'entretien des navires (hors des chantiers navals) de même que des travaux courants."
5,"Canadian industry","Classe canadienne","488390","Other support activities for water transportation","","Autres activités de soutien au transport par eau","","This Canadian industry comprises establishments, not classified to any other industry, primarily engaged in providing water transportation services. Establishments engaged in ship repair and maintenance (not done in a shipyard) and lighter operations are included.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale consiste à fournir des services de transport par eau. Sont compris dans cette classe les établissements qui effectuent la réparation et l'entretien des navires (hors des chantiers navals) de même que des travaux courants."
3,"Industry group","Groupe","4884","Support activities for road transportation","","Activités de soutien au transport routier","","This industry group comprises establishments primarily engaged in providing specialized services to trucking establishments, bus operators and other establishments using the road network.","Ce groupe comprend les établissements dont l'activité principale consiste à fournir des services spécialisés aux établissements de camionnage, aux exploitants d'autobus et à d'autres établissements utilisant le réseau routier."
4,"Industry","Classe","48841","Motor vehicle towing","","Remorquage de véhicules automobiles","","This industry comprises establishments primarily engaged in towing motor vehicles. Establishments engaged in providing light and heavy towing services, both local and long distance, to the general public, commercial, transportation and other sectors, are included. These establishments may offer incidental services, such as tire repair, battery boosting and other emergency road services.","Cette classe comprend les établissements dont l'activité principale consiste à remorquer les véhicules automobiles. Sont compris dans cette classe les établissements qui fournissent au grand public, au secteur commercial, au secteur du transport et à d'autres secteurs des services de remorquage de véhicules légers et lourds, sur de courtes ou de longues distances. Ces établissements peuvent offrir des services accessoires comme la réparation de pneus, le dépannage-secours et d'autres services routiers de secours."
5,"Canadian industry","Classe canadienne","488410","Motor vehicle towing","","Remorquage de véhicules automobiles","","This Canadian industry comprises establishments primarily engaged in towing motor vehicles. Establishments engaged in providing light and heavy towing services, both local and long distance, to the general public, commercial, transportation and other sectors, are included. These establishments may offer incidental services, such as tire repair, battery boosting and other emergency road services.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à remorquer les véhicules automobiles. Sont compris dans cette classe les établissements qui fournissent au grand public, au secteur commercial, au secteur du transport et à d'autres secteurs des services de remorquage de véhicules légers et lourds, sur de courtes ou de longues distances. Ces établissements peuvent offrir des services accessoires comme la réparation de pneus, le dépannage-secours et d'autres services routiers de secours."
4,"Industry","Classe","48849","Other support activities for road transportation","","Autres activités de soutien au transport routier","","This industry comprises establishments, not classified to any other industry, primarily engaged in providing services to trucking establishments, bus operators and other establishments using the road network. Establishments engaged in the operation of trucking terminals; inspection and weighing services connected with truck transportation; and the operation of toll roads, bridges and tunnels are included.","Cette classe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale consiste à fournir des services aux établissements de camionnage, aux exploitants d'autobus et à d'autres établissements utilisant le réseau routier. Sont compris dans cette classe les établissements qui exploitent les gares routières de marchandises, offrent des services d'inspection et de pesée relatifs au transport par camion et exploitent les routes, ponts et tunnels à péage."
5,"Canadian industry","Classe canadienne","488490","Other support activities for road transportation","US","Autres activités de soutien au transport routier","ÉU","This Canadian industry comprises establishments, not classified to any other industry, primarily engaged in providing services to trucking establishments, bus operators and other establishments using the road network. Establishments engaged in the operation of trucking terminals; inspection and weighing services connected with truck transportation; and the operation of toll roads, bridges and tunnels are included.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale consiste à fournir des services aux établissements de camionnage, aux exploitants d'autobus et à d'autres établissements utilisant le réseau routier. Sont compris dans cette classe les établissements qui exploitent les gares routières de marchandises, offrent des services d'inspection et de pesée relatifs au transport par camion et exploitent les routes, ponts et tunnels à péage."
3,"Industry group","Groupe","4885","Freight transportation arrangement","","Intermédiaires en transport de marchandises","","This industry group comprises establishments primarily engaged in acting as intermediaries between shippers and carriers. These establishments are usually referred to as freight forwarders, marine shipping agents or customs brokers. They may offer a combination of services which may span transportation modes.","Ce groupe comprend les établissements dont l'activité principale consiste à agir à titre d'intermédiaires entre les expéditeurs et les transporteurs. Ces établissements sont généralement désignés par les termes transitaires, agents maritimes ou courtiers en douane. Ces établissements peuvent fournir une combinaison de services touchant différents modes de transport."
4,"Industry","Classe","48851","Freight transportation arrangement","","Intermédiaires en transport de marchandises","","This industry comprises establishments primarily engaged in acting as intermediaries between shippers and carriers. These establishments are usually referred to as freight forwarders, marine shipping agents or customs brokers. They may offer a combination of services, which may span transportation modes. This industry also includes establishments primarily engaged in arranging and coordinating the transportation and storage of goods without themselves providing actual transportation and storage services.","Cette classe comprend les établissements dont l'activité principale consiste à agir à titre d'intermédiaires entre les expéditeurs et les transporteurs. Ces établissements sont généralement désignés par les termes transitaires, agents maritimes ou courtiers en douane. Ces établissements peuvent fournir une combinaison de services touchant différents modes de transport. Sont également compris dans cette classe les établissements dont l'activité principale consiste à organiser et à coordonner le transport et l'entreposage de marchandises, sans qu'ils fournissent eux-mêmes les services de transport et d'entreposage."
5,"Canadian industry","Classe canadienne","488511","Marine shipping agencies","CAN","Agences de transport maritime","CAN","This Canadian industry comprises establishments primarily engaged in representing shipping lines, arranging for the taking on of cargo and performing other business transactions in port, on behalf of ship owners and charterers.","Cette classe canadienne comprend les établissements dont l'activité principale concerne la représentation des sociétés maritimes, la prise en charge des cargaisons et le traitement d'affaires au port, au nom des armateurs et des affréteurs."
5,"Canadian industry","Classe canadienne","488519","Other freight transportation arrangement","CAN","Autres intermédiaires en transport de marchandises","CAN","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in acting as intermediaries between shippers and carriers. These establishments are usually referred to as freight forwarders or customs brokers. They may offer a combination of services spanning transportation modes. This industry also includes establishments primarily engaged in arranging and coordinating the transportation and storage of goods without themselves providing actual transportation and storage services.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale consiste à agir à titre d'intermédiaires entre les expéditeurs et les transporteurs. Ces établissements sont généralement désignés par les termes transitaires, ou courtiers en douane. Ces établissements peuvent fournir une combinaison de services touchant différents modes de transport. Sont également compris dans cette classe les établissements dont l'activité principale consiste à organiser et à coordonner le transport et l'entreposage de marchandises, sans qu'ils fournissent eux-mêmes les services de transport et d'entreposage."
3,"Industry group","Groupe","4889","Other support activities for transportation","","Autres activités de soutien au transport","","This industry group comprises establishments, not classified to any other industry, primarily engaged in providing specialized services to transportation establishments. Establishments engaged in packing, crating and otherwise preparing goods for transportation are included.","Ce groupe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale consiste à fournir des services spécialisés aux établissements de transport. Sont compris dans cette classe les établissements qui effectuent l'emballage, la mise en caisses et d'autres activités de traitement des marchandises en vue de leur transport."
4,"Industry","Classe","48899","Other support activities for transportation","","Autres activités de soutien au transport","","This industry comprises establishments, not classified to any other industry, primarily engaged in providing specialized services to transportation establishments. Establishments engaged in packing, crating and otherwise preparing goods for transportation are included.","Cette classe comprend les établissements qui ne figurent dans aucune autre classe et dont l'activité principale consiste à fournir des services spécialisés aux établissements de transport. Sont compris dans cette classe les établissements qui effectuent l'emballage, la mise en caisses et d'autres activités de traitement des marchandises en vue de leur transport."
5,"Canadian industry","Classe canadienne","488990","Other support activities for transportation","MEX","Autres activités de soutien au transport","MEX","This Canadian industry comprises establishments, not classified to any other Canadian industry, primarily engaged in providing specialized services to transportation establishments. Establishments engaged in packing, crating and otherwise preparing goods for transportation are included.","Cette classe canadienne comprend les établissements qui ne figurent dans aucune autre classe canadienne et dont l'activité principale consiste à fournir des services spécialisés aux établissements de transport. Sont compris dans cette classe les établissements qui effectuent l'emballage, la mise en caisses et d'autres activités de traitement des marchandises en vue de leur transport."
2,"Subsector","Sous-secteur","491","Postal service","","Services postaux","","This subsector comprises establishments primarily engaged in operating the postal service. Establishments of the Post Office, other than those primarily engaged in providing courier services, are classified in this industry, as well as establishments that carry on one or more functions of the postal service on a contract basis, except the delivery of mail in bulk.","Ce sous-secteur comprend les établissements dont l'activité principale consiste à fournir des services postaux. Sont compris dans cette classe les bureaux de poste, sauf ceux dont l'activité principale consiste à fournir des services de messageries, et les établissements qui assument une ou plusieurs fonctions des services postaux en vertu d'une entente contractuelle, exception faite de la distribution du courrier en vrac."
3,"Industry group","Groupe","4911","Postal service","","Services postaux","","This industry group comprises establishments primarily engaged in operating the postal service. Establishments of the Post Office, other than those primarily engaged in providing courier services, are classified in this industry, as well as establishments that carry on one or more functions of the postal service on a contract basis, except the delivery of mail in bulk.","Ce groupe comprend les établissements dont l'activité principale consiste à fournir des services postaux. Sont compris dans cette classe les bureaux de poste, sauf ceux dont l'activité principale consiste à fournir des services de messageries, et les établissements qui assument une ou plusieurs fonctions des services postaux en vertu d'une entente contractuelle, exception faite de la distribution du courrier en vrac."
4,"Industry","Classe","49111","Postal service","","Services postaux","","This industry comprises establishments primarily engaged in operating the postal service. Establishments of the Post Office, other than those primarily engaged in providing courier services, are classified in this industry, as well as establishments that carry on one or more functions of the postal service on a contract basis, except the delivery of mail in bulk.","Cette classe comprend les établissements dont l'activité principale consiste à fournir des services postaux. Sont compris dans cette classe les bureaux de poste, sauf ceux dont l'activité principale consiste à fournir des services de messageries, et les établissements qui assument une ou plusieurs fonctions des services postaux en vertu d'une entente contractuelle, exception faite de la distribution du courrier en vrac."
5,"Canadian industry","Classe canadienne","491110","Postal service","","Services postaux","","This Canadian industry comprises establishments primarily engaged in operating the postal service. Establishments of the Post Office, other than those primarily engaged in providing courier services, are classified in this industry, as well as establishments that carry on one or more functions of the postal service on a contract basis, except the delivery of mail in bulk.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à fournir des services postaux. Sont compris dans cette classe les bureaux de poste, sauf ceux dont l'activité principale consiste à fournir des services de messageries, et les établissements qui assument une ou plusieurs fonctions des services postaux en vertu d'une entente contractuelle, exception faite de la distribution du courrier en vrac."
2,"Subsector","Sous-secteur","492","Couriers and messengers","","Messageries et services de messagers","","This subsector comprises establishments primarily engaged in providing courier delivery services; or messenger and delivery services of small parcels within a single urban area.","Ce sous-secteur comprend les établissements dont l'activité principale consiste à fournir des services de messageries ou des services de messagers et de livraison de petits colis à l'intérieur d'une zone urbaine donnée."
3,"Industry group","Groupe","4921","Couriers","","Messageries","","This industry group comprises establishments primarily engaged in providing air, surface or combined courier delivery services. Courier establishments of the Post Office are included.","Ce groupe comprend les établissements dont l'activité principale consiste à fournir des services de messageries par transport aérien, terrestre ou mixte. Sont compris dans cette classe les établissements de messageries relevant des bureaux de poste."
4,"Industry","Classe","49211","Couriers","","Messageries","","This industry comprises establishments primarily engaged in providing air, surface or combined courier delivery services. Courier establishments of the Post Office are included.","Cette classe comprend les établissements dont l'activité principale consiste à fournir des services de messageries par transport aérien, terrestre ou mixte. Sont compris dans cette classe les établissements de messageries relevant des bureaux de poste."
5,"Canadian industry","Classe canadienne","492110","Couriers","","Messageries","","This Canadian industry comprises establishments primarily engaged in providing air, surface or combined courier delivery services. Courier establishments of the Post Office are included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à fournir des services de messageries par transport aérien, terrestre ou mixte. Sont compris dans cette classe les établissements de messageries relevant des bureaux de poste."
3,"Industry group","Groupe","4922","Local messengers and local delivery","","Services locaux de messagers et de livraison","","This industry group comprises establishments primarily engaged in providing messenger and delivery services of small parcels within a single urban area. Establishments engaged in the delivery of letters and documents, such as legal documents, often by bicycle or on foot; and the delivery of small parcels, such as take-out restaurant meals, alcoholic beverages and groceries, on a fee basis, usually by small truck or van, are included.","Ce groupe comprend les établissements dont l'activité principale consiste à fournir des services de messagers et de livraison de petits colis à l'intérieur d'une zone urbaine donnée. Sont compris dans cette classe les établissements qui effectuent la livraison de lettres et de documents, comme les documents juridiques, souvent à vélo ou à pied; et la livraison, contre rémunération, de petits colis comme les mets à emporter, les boissons alcoolisées et les produits d'épicerie, généralement par petit camion ou par fourgonnette."
4,"Industry","Classe","49221","Local messengers and local delivery","","Services locaux de messagers et de livraison","","This industry comprises establishments primarily engaged in providing messenger and delivery services of small parcels within a single urban area. Establishments engaged in the delivery of letters and documents, such as legal documents, often by bicycle or on foot; and the delivery of small parcels, such as take-out restaurant meals, alcoholic beverages and groceries, on a fee basis, usually by small truck or van, are included.","Cette classe comprend les établissements dont l'activité principale consiste à fournir des services de messagers et de livraison de petits colis à l'intérieur d'une zone urbaine donnée. Sont compris dans cette classe les établissements qui effectuent la livraison de lettres et de documents, comme les documents juridiques, souvent à vélo ou à pied; et la livraison, contre rémunération, de petits colis comme les mets à emporter, les boissons alcoolisées et les produits d'épicerie, généralement par petit camion ou par fourgonnette."
5,"Canadian industry","Classe canadienne","492210","Local messengers and local delivery","","Services locaux de messagers et de livraison","","This Canadian industry comprises establishments primarily engaged in providing messenger and delivery services of small parcels within a single urban area. Establishments engaged in the delivery of letters and documents, such as legal documents, often by bicycle or on foot; and the delivery of small parcels, such as take-out restaurant meals, alcoholic beverages and groceries, on a fee basis, usually by small truck or van, are included.","Cette classe canadienne comprend les établissements dont l'activité principale consiste à fournir des services de messagers et de livraison de petits colis à l'intérieur d'une zone urbaine donnée. Sont compris dans cette classe les établissements qui effectuent la livraison de lettres et de documents, comme les documents juridiques, souvent à vélo ou à pied; et la livraison, contre rémunération, de petits colis comme les mets à emporter, les boissons alcoolisées et les produits d'épicerie, généralement par petit camion ou par fourgonnette."
